TEAM;NAME;ROLE;BIRTH;HEIGHT;NATIONALITY 
Il Bisonte Firenze;VITTORINI ARIANNA;SCHIACCIATRICE;2002;181;ITA 
Il Bisonte Firenze;CAMBI CARLOTTA;PALLEGGIATRICE;1996;176;ITA 
Il Bisonte Firenze;LAZIC REBECKA;SCHIACCIATRICE;1994;187;SWE 
Il Bisonte Firenze;VAN GESTEL CELINE;SCHIACCIATRICE;1997;183;BEL 
Il Bisonte Firenze;ALBERTI SARA;CENTRALE;1993;185;ITA 
Il Bisonte Firenze;PANETONI SARA;LIBERO;2000;174;ITA 
Il Bisonte Firenze;HASHIMOTO NAOKO;PALLEGGIATRICE;1984;172;JPN 
Il Bisonte Firenze;BELIEN YVON;CENTRALE;1993;188;NED 
Il Bisonte Firenze;GUERRA ANASTASIA;SCHIACCIATRICE;1996;186;ITA 
Il Bisonte Firenze;KONE FATIM YASSIMINA;CENTRALE;2000;182;ITA 
Il Bisonte Firenze;NWAKALOR SYLVIA;OPPOSTO;1999;176;ITA 
Il Bisonte Firenze;ACCIARRI NAUSICA;CENTRALE;2004;186;ITA 
Il Bisonte Firenze;VENTURI MAILA;LIBERO;1996;162;ITA 
Imoco Volley Conegliano;CARAVELLO LARA;LIBERO;1994;176;ITA 
Imoco Volley Conegliano;GICQUEL LUCILLE;OPPOSTO;1997;189;FRA 
Imoco Volley Conegliano;BUTIGAN BOZANA;CENTRALE;2000;190;CRO 
Imoco Volley Conegliano;DE KRUIJF ROBIN;CENTRALE;1991;193;NED 
Imoco Volley Conegliano;FOLIE RAPHAELA;CENTRALE;1991;186;ITA 
Imoco Volley Conegliano;OMORUYI LOVETH OGHOSASERE;SCHIACCIATRICE;2002;184;ITA 
Imoco Volley Conegliano;DE GENNARO MONICA;LIBERO;1987;173;ITA 
Imoco Volley Conegliano;ADAMS MCKENZIE ELISE;SCHIACCIATRICE;1992;192;USA 
Imoco Volley Conegliano;GENNARI GIULIA;PALLEGGIATRICE;1996;184;ITA 
